source,target,type
R-HSA-73894,R-HSA-69481,h
R-HSA-5693532,R-HSA-69481,h
R-HSA-69306,R-HSA-69481,h
R-HSA-69002,R-HSA-69481,h
R-HSA-68962,R-HSA-69481,h
R-HSA-1266738,R-HSA-69481,h
R-HSA-9675126,R-HSA-69481,h
R-HSA-9687139,R-HSA-69481,h
R-HSA-983231,R-HSA-69481,h
R-HSA-3371556,R-HSA-69481,h
R-HSA-6783310,R-HSA-69481,h
R-HSA-9675135,R-HSA-69481,h
R-HSA-9675136,R-HSA-69481,h
R-HSA-9711123,R-HSA-69481,h
R-HSA-1234174,R-HSA-69481,h
R-HSA-68867,R-HSA-69481,h
R-HSA-5619115,R-HSA-69481,h
R-HSA-5619084,R-HSA-69481,h
R-HSA-5621481,R-HSA-69481,h
R-HSA-450408,R-HSA-69481,h
R-HSA-5688426,R-HSA-69481,h
R-HSA-109581,R-HSA-69481,h
R-HSA-195253,R-HSA-69481,h
R-HSA-3858494,R-HSA-69481,h
R-HSA-382556,R-HSA-69481,h
R-HSA-69190,R-HSA-69481,h
R-HSA-4839726,R-HSA-69481,h
R-HSA-3247509,R-HSA-69481,h
R-HSA-5693606,R-HSA-69481,h
R-HSA-8939211,R-HSA-69481,h
R-HSA-73884,R-HSA-69481,h
R-HSA-73929,R-HSA-69481,h
R-HSA-5619507,R-HSA-69481,h
R-HSA-5617472,R-HSA-69481,h
R-HSA-9645723,R-HSA-69481,h
R-HSA-9710421,R-HSA-69481,h
R-HSA-212165,R-HSA-69481,h
R-HSA-5334118,R-HSA-69481,h
R-HSA-977225,R-HSA-69481,h
R-HSA-983169,R-HSA-69481,h
R-HSA-73893,R-HSA-69481,h
R-HSA-2564830,R-HSA-69481,h
R-HSA-9612973,R-HSA-69481,h
R-HSA-5617833,R-HSA-69481,h
R-HSA-5620912,R-HSA-69481,h
R-HSA-9734009,R-HSA-69481,h
R-HSA-75153,R-HSA-69481,h
R-HSA-9613829,R-HSA-69481,h
R-HSA-9711097,R-HSA-69481,h
R-HSA-400253,R-HSA-69481,h
R-HSA-5663084,R-HSA-69481,h
R-HSA-9682385,R-HSA-69481,h
R-HSA-9607240,R-HSA-69481,h
R-HSA-1834949,R-HSA-69481,h
R-HSA-9645460,R-HSA-69481,h
R-HSA-168928,R-HSA-69481,h
R-HSA-156842,R-HSA-69481,h
R-HSA-72613,R-HSA-69481,h
R-HSA-72764,R-HSA-69481,h
R-HSA-73887,R-HSA-69481,h
R-HSA-8856828,R-HSA-69481,h
R-HSA-917729,R-HSA-69481,h
R-HSA-9612973,R-HSA-69618,h
R-HSA-1632852,R-HSA-69618,h
