,node,aPDist,pIn_Degree,aEigenvector_Centrality,pDegree_Centrality,aDegree,aIn_Degree,aBetweenness_Centrality,pDegree,aDegree_Centrality,pCloseness_Centrality,pPagerank,pOut_Degree,aCloseness_Centrality,pBetweenness_Centrality,aOut_Degree,pEigenvector_Centrality,aPagerank,hallmark
90,ADAMTS1,11.626885771343296,0,2.71956184904173e-20,0.000475888324873096,3.0,0.0,0.0,3,0.0004993342210386152,0.0,3.38707495131675e-05,3,0.0,0.0,3.0,2.6598156925935396e-60,4.81339440286171e-05,784
91,ADAMTS13,11.124775836245977,3,0.000506664474907099,0.00111040609137056,7.0,3.0,0.00023328249094820897,7,0.00116511318242344,0.174954882612978,0.000126182927976449,4,0.153491689408569,0.000248002430134225,4.0,2.3094650777100896e-07,0.000185218108031491,21
92,ADAMTS16,12.512900000001158,1,0.00285654167349505,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.200377861833474,4.16599805144066e-05,0,0.17295624952489,0.0,0.0,3.87770134838887e-06,6.335065995806e-05,48
93,ADAMTS4,12.506236112499078,5,0.0041437407999701395,0.0012690355329949199,8.0,5.0,0.000215032016578606,8,0.0013315579227696401,0.20962354966839197,0.0001170562061848,3,0.179915713607995,0.000354587046587867,3.0,2.47147940544928e-05,0.000176800893721818,0
94,ADAP1,11.769784905974674,1,2.71956184904173e-20,0.000475888324873096,1.0,0.0,0.0,3,0.00016644474034620502,0.00015862944162436498,9.90805713956718e-05,2,0.0,0.000123974080507952,1.0,5.71191070653842e-51,4.81339440286171e-05,0
95,ADAR,11.714996671659472,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,388
96,ADARB1,12.509355550009479,1,1.11393253336749e-16,0.000475888324873096,3.0,1.0,0.0,3,0.0004993342210386152,0.0,5.89928776262274e-05,2,0.0,0.0,2.0,5.71191070653842e-51,8.423916476855559e-05,788
97,ADCY1,10.416025545016172,31,0.0107716919519602,0.00682106598984771,38.0,29.0,0.000978739138187074,43,0.00632490013315579,0.22121771548307698,0.000348974539195408,12,0.18997704827534803,0.0006025916742119482,9.0,3.66567250225186e-05,0.0004922007992048179,16
98,ADCY10,11.766262323182236,2,2.71956184904173e-20,0.000793147208121827,1.0,0.0,0.0,5,0.00016644474034620502,0.194665840910721,5.10737047459505e-05,3,0.0,8.699592306220461e-06,1.0,2.42899353550657e-05,4.81339440286171e-05,128
99,ADCY2,10.723732551173617,11,0.00517024499000571,0.00253807106598985,16.0,11.0,9.492805498684179e-05,16,0.0026631158455392803,0.20839647313445697,0.00014340479981307,5,0.176740995792233,4.10116266132016e-05,5.0,8.503692182317031e-06,0.000238246592301192,0
100,ADCY3,10.849445797970104,16,0.0050794918179199785,0.00317258883248731,20.0,16.0,8.6015853513439e-05,20,0.0033288948069241,0.207554418578962,0.00018221687193949296,4,0.17736067067092198,4.1410860838408e-05,4.0,8.282844389623441e-06,0.000256574434809886,512
101,ADCY4,10.849438875021193,10,0.00414699799296484,0.00222081218274112,14.0,10.0,6.36288736568775e-05,14,0.00233022636484687,0.205302771923143,0.00014013376381135902,4,0.174883969331564,2.37805298654165e-05,4.0,6.365738064202951e-06,0.000235115845208427,0
102,ADCY5,10.72379583957435,12,0.0052117524370508895,0.00269670050761421,17.0,12.0,0.000160696118429735,17,0.00282956058588549,0.208662531770075,0.00015964728570050702,5,0.177117143730553,9.82401739090706e-05,5.0,8.59439729337483e-06,0.00026139453943215,0
103,ADCY6,10.849438875021193,10,0.00414699799296484,0.00222081218274112,14.0,10.0,6.36288736568775e-05,14,0.00233022636484687,0.205302771923143,0.00014013376381135902,4,0.174883969331564,2.37805298654165e-05,4.0,6.365738064202951e-06,0.000235115845208427,48
104,ADCY7,10.726506756532208,10,0.00414699799296484,0.0023794416243654803,15.0,10.0,9.135235493785041e-05,15,0.00249667110519308,0.205302771923143,0.00014013376381135902,5,0.174883969331564,5.42345991985977e-05,5.0,6.365738064202951e-06,0.000235115845208427,0
